Designator,Layer,Mid X,Mid Y,Rotation
C7,Top,-28.3464mm,-14.4018mm,360
U2,Top,-0.7810mm,-20.7010mm,180
S2,Top,-28.4814mm,-27.7896mm,270
J1,Top,-27.9400mm,-35.8467mm,360
J3,Top,2.5146mm,-34.5186mm,180
J2,Top,-21.1328mm,-33.1724mm,90
R2,Top,-22.4536mm,-37.5666mm,90
D2,Top,-20.6502mm,-37.5031mm,270
R14,Top,11.3538mm,-44.0944mm,360
R13,Top,-25.0190mm,-28.9052mm,90
R12,Top,0.9906mm,-41.9100mm,270
R9,Top,-17.3736mm,-29.3878mm,270
PB3,Top,9.6774mm,-40.9194mm,180
PB2,Top,-21.2852mm,-28.0924mm,0
C22,Top,5.8674mm,-38.3032mm,360
C19,Top,-17.3826mm,-26.7900mm,90
HM1,Top,9.4234mm,-49.9110mm,360
U3,Top,-12.0660mm,-44.7250mm,180
R11,Top,8.6614mm,-45.3390mm,360
R10,Top,10.1600mm,-46.9646mm,180
IC3,Top,-9.1694mm,-39.3954mm,90
C21,Top,-1.8542mm,-35.9410mm,180
Y3,Top,-17.7546mm,-39.8272mm,45
U1,Top,-18.1149mm,-20.7668mm,360
S1,Top,-26.8986mm,-21.4630mm,90
R8,Top,10.6680mm,-32.4612mm,360
R7,Top,5.4102mm,-36.6776mm,180
R3,Top,-21.6408mm,-24.1808mm,270
R1,Top,-18.7706mm,-24.1554mm,90
PB1,Top,9.7028mm,-36.0426mm,180
L2,Top,-27.4574mm,-10.5038mm,90
L1,Top,-11.9380mm,-32.8422mm,180
IC1,Top,-20.0914mm,-9.7282mm,360
FL1,Top,-2.0320mm,-34.0106mm,180
D1,Top,-16.4084mm,-15.0876mm,270
C15,Top,6.2230mm,-34.6202mm,90
C14,Top,-17.4244mm,-10.9982mm,270
C13,Top,-15.7226mm,-11.0236mm,270
C10,Top,-15.3416mm,-32.8422mm,270
C9,Top,-16.9926mm,-32.9438mm,270
C8,Top,-17.6022mm,-35.6108mm,135
C6,Top,-28.3210mm,-16.6878mm,360
C5,Top,-1.6510mm,-41.1734mm,180
C4,Top,-1.7780mm,-37.9476mm,360
C3,Top,-8.8646mm,-32.7406mm,270
C2,Top,-1.6764mm,-39.4208mm,180
C1,Top,-6.7818mm,-32.7914mm,270
